순위,책이름,저자,출판사,출판일,원가,할인가,리뷰평점
141,타키 포오 탐정 사무소 1: 프랑스 파리에 나타난 괴도 물음표,캐릭온TV,대원키즈,20240627,14500,13050,9.74
142,정브르의 별별 곤충 일기,정브르,서울문화사,20240731,13000,11700,10
143,한 권으로 끝내는 해커스 토익 700+(LC+RC+VOCA),해커스 어학연구소,해커스어학연구소,20230703,19800,17820,9.82
144,백앤아 6: 저주 걸린 장난감 가게,백앤아 외,샌드박스네트워크,20240529,16800,15120,9.86
145,"꽃길이 따로 있나, 내 삶이 꽃인 것을",오평선,포레스트북스,20240322,16800,15120,9.68
146,노르웨이의 숲,무라카미 하루키,민음사,20170807,17000,15300,9.35
147,타이탄의 도구들(블랙 에디션),팀 페리스,토네이도,20220620,18000,16200,9.6
148,네가 유성처럼 스러지는 모습을 지켜볼 운명이었다,미나토 쇼,필름(Feelm),20240717,18000,16200,9.77
149,힐빌리의 노래,J. D.밴스,흐름출판,20170904,17800,16020,9.31
150,해커스 토익 LC Listening(리스닝) 기본서,David Cho,해커스어학연구소,20230724,18800,16920,9.84
151,프리드리히 니체 아포리즘 : 혼자일 수 없다면 나아갈 수 없다,프리드리히 니체,포레스트북스,20240314,17500,15750,8.83
152,사랑과 결함,예소연,문학동네,20240726,16500,14850,10
153,종의 기원,정유정,은행나무,20160516,16800,15120,9.34
154,이동 평균선 투자법,고지로 강사,이레미디어,20240503,17000,15300,9.52
155,김장환 목사 평전,신성욱,미래사,20240725,39000,35100,10
156,최소한의 한국사,최태성,프런트페이지,20230621,18000,16200,9.7
157,뚜식이 5,뚜식이,서울문화사,20240625,12000,10800,9.86
158,"의사 어벤저스 19: 근육 질환, 더 단단해져라!",고희정,가나출판사,20240820,14800,13320,10
159,who? special 김민재,스토리랩,다산어린이,20240627,15000,13500,9.75
160,장송의 프리렌 12,Kanehito YAMADA,학산문화사,20240725,6000,5400,9.64
161,왕구리네 떡집,김리리,비룡소,20240612,13000,11700,9.93
162,만일 내가 그때 내 말을 들어줬더라면,나종호,다산북스,20240725,18000,16200,10
163,아주 세속적인 지혜,발타자르 그라시안,페이지2북스,20230324,13500,12150,9.67
164,파과,구병모,위즈덤하우스,20180416,15800,14220,9.72
165,예약판매불안의 서,페르난두 페소아,봄날의책,20140515,28000,25200,9.81
166,불편한 편의점 2(단풍 에디션),김호연,나무옆의자,20220810,14000,12600,9.74
167,회색 인간,김동식,요다,20171227,13000,11700,9.55
168,긴긴밤,루리,문학동네,20210203,11500,10350,9.84
169,부모의 어휘력,김종원,카시오페아,20240617,19000,17100,9.8
170,초등 첫 문해력 신문,이다희,아울북,20240717,19800,17820,10
171,부자의 공부법,이지영 외,나비의활주로,20240814,18800,16920,9.88
172,해커스 보카(Hackers Vocabulary),David Cho,해커스어학연구소,20211213,16900,15210,9.45
173,세계를 움직인 열 가지 프레임,수바드라 다스,북하우스,20240607,20000,18000,9.07
174,지적 대화를 위한 넓고 얕은 지식 1,채사장,웨일북(whalebooks),20200205,16000,14400,9.53
175,삼체 1: 삼체문제,류츠신,자음과모음,20220215,17000,15300,9.65
176,해독 혁명,닥터 라이블리(최지영),웅진지식하우스,20240630,18500,16650,9.81
177,오백 년째 열다섯 3: 두 개의 구슬,김혜정,위즈덤하우스,20240527,14000,12600,10
178,데일 카네기 자기관리론(국내최초 초판 무삭제 완역본),데일 카네기,현대지성,20210113,11500,10350,9.79
179,바다 100층짜리 집,이와이 도시오,북뱅크,20140925,11000,9900,9.68
180,나는 나의 스무 살을 가장 존중한다,이하영,토네이도,20240228,18000,16200,9.61
181,반딧불이의 혼례 2,Oreco TACHIBANA,서울미디어코믹스(서울문화사),20240630,8500,7650,9.76
182,나를 위해 살지 않으면 남을 위해 살게 된다,에픽테토스,페이지2북스,20240717,13800,12420,9.81
183,진짜 쓰는 실무 엑셀,오빠두(전진권),제이펍,20220215,21000,18900,9.64
184,음악소설집,김애란 외,프란츠,20240701,18000,16200,9.57
185,퀸의 대각선 1,베르나르 베르베르,열린책들,20240625,16800,15120,9.53
186,가면 수집가(하),잠뜰TV,서울문화사,20240730,13000,11700,9.55
187,말량&홍챠 인피니티 2: 배드랜드 대모험,말량&홍챠,다산어린이,20240729,14000,12600,10
188,아무도 늙지 않는 세상,라정찬,쌤앤파커스,20231225,18000,16200,9.66
189,보편의 단어,이기주,말글터,20240111,16000,14400,9.55
190,달러구트 꿈 백화점,이미예,팩토리나인,20200708,13800,12420,9.49
191,내장비만,이왕림,포레스트북스,20240710,18800,16920,9.64
192,전설의 프로 트레이더 빅,빅터 스페란데오 외,액티브,20240820,25000,22500,8.67
193,용의자 X의 헌신,히가시노 게이고,재인,20170830,18800,16920,9.67
194,ETS 토익 단기공략 850+(LC+RC),ETS,YBM,20220630,19500,17550,9.7
195,착! 붙는 일본어 독학 첫걸음,일본어 공부기술연구소,시사일본어사,20240325,16800,15120,9.68
196,읽는 기도,무명의 기도자,더하트,20240523,5500,4950,9.81
197,이방인,알베르 카뮈,민음사,20190902,10000,9000,9.74
198,LLM을 활용한 실전 AI 애플리케이션 개발,허정준,책만,20240725,32000,28800,10
199,남에게 보여주려고 인생을 낭비하지 마라,쇼펜하우어,페이지2북스,20231030,17500,15750,9.01
200,타키 포오 코믹 어드벤처 6,캐릭온TV,대원키즈,20240815,14500,13050,10
